symbol,price,trailing_eps_ttm,base_q_eps,next_q_eps_est,next_year_eps_est,avg_payout_ratio,est_dividend,est_yield_%
2385.TW,125.5,11.17,2.792,2.795,11.18,0.661,7.39,5.89
2247.TW,249.0,20.18,5.045,4.953,19.81,0.738,14.63,5.88
2414.TW,41.75,3.07,0.767,0.795,3.18,0.769,2.44,5.85
2608.TW,31.3,2.09,0.522,0.517,2.07,0.883,1.83,5.84
2114.TW,89.7,5.45,1.363,1.307,5.23,0.991,5.18,5.77
1730.TW,53.3,4.5,1.125,1.103,4.41,0.696,3.07,5.76
1731.TW,22.0,1.31,0.328,0.365,1.46,0.858,1.25,5.7
3026.TW,109.0,6.06,1.515,1.48,5.92,1.046,6.19,5.68
1582.TW,82.3,4.52,1.13,1.153,4.61,1.01,4.66,5.66
2731.TW,163.0,15.46,3.865,4.437,17.75,0.501,8.9,5.46
3031.TW,19.2,1.01,0.253,0.298,1.19,0.881,1.05,5.46
1904.TW,17.8,0.27,0.068,0.057,0.23,4.259,0.97,5.42
1535.TW,50.5,3.99,0.998,1.022,4.09,0.664,2.72,5.38
2504.TW,38.4,3.24,0.81,0.817,3.27,0.63,2.06,5.36
1234.TW,36.35,1.96,0.49,0.524,2.1,0.929,1.95,5.35
1423.TW,38.2,4.25,1.062,1.353,5.41,0.377,2.04,5.35
2707.TW,185.0,11.05,2.763,2.643,10.57,0.933,9.86,5.33
2363.TW,50.3,1.49,0.372,0.486,1.94,1.374,2.67,5.31
2915.TW,51.5,8.58,2.145,2.187,8.75,0.311,2.72,5.29
1708.TW,35.85,2.98,0.745,0.733,2.93,0.631,1.85,5.16
1323.TW,18.65,0.1,0.025,0.019,0.08,12.4,0.96,5.15
2028.TW,18.25,0.22,0.055,0.031,0.13,7.43,0.94,5.13
2109.TW,14.9,1.26,0.315,0.26,1.04,0.73,0.76,5.11
2484.TW,27.65,0.56,0.14,0.142,0.57,2.464,1.4,5.06
2331.TW,24.1,1.19,0.297,0.48,1.92,0.633,1.21,5.04
1722.TW,45.8,1.57,0.393,0.371,1.49,1.554,2.31,5.04
2379.TW,456.0,29.73,7.433,7.824,31.29,0.733,22.95,5.03
